Programme...:	MICH
Date........:	   202021-04-
Heure.......:	     6 16:25:
Colonnes....:	            3
Lignes......:	          337
Décalage....:	           17
Commentaires:	essaie 4, modulage de 10

P.abs.i.(mp):	 1.5150100E+5	P.cal.i.(µm):	-4.2692683E+0	V_min___(mV):	 8.7713730E+5	
P.abs.f.(mp):	 1.5217300E+5	P.cal.f.(µm):	 3.7445538E+0	V_max___(mV):	 5.2784562E+5	
Nbre_de_pts_:	 3.3700000E+2	Délai___(ms):	 7.0000000E+1	Calibration_:	 8.3200000E+0	
Source......:	lumiere blanche - filtre-rouge	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 8.7130210E+6	-4.2692683E+0	 6.7904252E+2	
 8.7132290E+6	-4.2454177E+0	 6.7904252E+2	
 8.7135080E+6	-4.2215670E+0	 6.7904252E+2	
 8.7137870E+6	-4.1977163E+0	 6.7904252E+2	
 8.7140670E+6	-4.1738657E+0	 6.7879826E+2	
 8.7143460E+6	-4.1500150E+0	 6.7879826E+2	
 8.7146250E+6	-4.1261644E+0	 6.7879826E+2	
 8.7900300E+6	 2.3135141E+0	 7.5720567E+2	
 8.7903090E+6	 2.3373648E+0	 7.6404494E+2	
 8.7905880E+6	 2.3612154E+0	 7.6306790E+2	
 8.7908670E+6	 2.3850661E+0	 7.4987787E+2	
 8.7911470E+6	 2.4089168E+0	 7.3180264E+2	
 8.7914260E+6	 2.4327674E+0	 7.0884222E+2	
 8.7917050E+6	 2.4566181E+0	 6.8124086E+2	
 8.7919840E+6	 2.4804687E+0	 6.5266240E+2	
 8.7922630E+6	 2.5043194E+0	 6.2823641E+2	
 8.7925430E+6	 2.5281701E+0	 6.1284804E+2	
 8.7928220E+6	 2.5520207E+0	 6.0307765E+2	
 8.7931020E+6	 2.5758714E+0	 6.0039079E+2	
 8.7933800E+6	 2.5997221E+0	 6.0405469E+2	
 8.7936600E+6	 2.6235727E+0	 6.1529064E+2	
 8.7939390E+6	 2.6474234E+0	 6.3092327E+2	
 8.7942180E+6	 2.6712740E+0	 6.5021986E+2	
 8.7944970E+6	 2.6951247E+0	 6.7122620E+2	
 8.7947770E+6	 2.7189754E+0	 6.9125551E+2	
 8.7950570E+6	 2.7428260E+0	 7.0981926E+2	
 8.7953360E+6	 2.7666767E+0	 7.2471911E+2	
 8.7956160E+6	 2.7905273E+0	 7.3571080E+2	
 8.7958940E+6	 2.8143780E+0	 7.4181730E+2	
 8.7961730E+6	 2.8382287E+0	 7.4474841E+2	
 8.7964530E+6	 2.8620793E+0	 7.4181730E+2	
 8.7967320E+6	 2.8859300E+0	 7.3742062E+2	
 8.7970110E+6	 2.9097806E+0	 7.2813874E+2	
 8.7972900E+6	 2.9336313E+0	 7.1592575E+2	
 8.7975700E+6	 2.9574820E+0	 7.0200294E+2	
 8.7978490E+6	 2.9813326E+0	 6.8881291E+2	
 8.7981280E+6	 3.0051833E+0	 6.7513436E+2	
 8.7984080E+6	 3.0290340E+0	 6.6340989E+2	
 8.7986870E+6	 3.0528846E+0	 6.5388376E+2	
 8.7989660E+6	 3.0767353E+0	 6.4704448E+2	
 8.7992450E+6	 3.1005859E+0	 6.4264780E+2	
 8.7995250E+6	 3.1244366E+0	 6.4020520E+2	
 8.7998040E+6	 3.1482873E+0	 6.4118224E+2	
 8.8000830E+6	 3.1721379E+0	 6.4533466E+2	
 8.8003630E+6	 3.1959886E+0	 6.5217394E+2	
 8.8006420E+6	 3.2198392E+0	 6.5925747E+2	
 8.8009210E+6	 3.2436899E+0	 6.6634101E+2	
 8.8012010E+6	 3.2675406E+0	 6.7440158E+2	
 8.8014800E+6	 3.2913912E+0	 6.8221790E+2	
 8.8017590E+6	 3.3152419E+0	 6.8954569E+2	
 8.8020380E+6	 3.3390925E+0	 6.9662923E+2	
 8.8023180E+6	 3.3629432E+0	 7.0200294E+2	
 8.8025970E+6	 3.3867939E+0	 7.0713240E+2	
 8.8028760E+6	 3.4106445E+0	 7.1055204E+2	
 8.8031560E+6	 3.4344952E+0	 7.1250612E+2	
 8.8034350E+6	 3.4583459E+0	 7.1372741E+2	
 8.8037140E+6	 3.4821965E+0	 7.1568149E+2	
 8.8039940E+6	 3.5060472E+0	 7.1494871E+2	
 8.8042730E+6	 3.5298978E+0	 7.1275038E+2	
 8.8045520E+6	 3.5537485E+0	 7.0908648E+2	
 8.8048310E+6	 3.5775992E+0	 7.0493406E+2	
 8.8051110E+6	 3.6014498E+0	 6.9980460E+2	
 8.8053890E+6	 3.6253005E+0	 6.9394237E+2	
 8.8056680E+6	 3.6491511E+0	 6.8759161E+2	
 8.8059480E+6	 3.6730018E+0	 6.8124086E+2	
 8.8062270E+6	 3.6968525E+0	 6.7489010E+2	
 8.8065060E+6	 3.7207031E+0	 6.6878361E+2	
 8.8067860E+6	 3.7445538E+0	 6.6438693E+2	
